Maturity (Yrs),15-Dec-17
0.0,6.02
0.5,6.12
1.0,6.24
1.5,6.37
2.0,6.48
2.5,6.60
3.0,6.70
3.5,6.79
4.0,6.87
4.5,6.94
5.0,7.01
5.5,7.07
6.0,7.12
6.5,7.17
7.0,7.21
7.5,7.25
8.0,7.28
8.5,7.31
9.0,7.34
9.5,7.37
10.0,7.39
10.5,7.41
11.0,7.43
11.5,7.45
12.0,7.47
12.5,7.48
13.0,7.50
13.5,7.51
14.0,7.52
14.5,7.53
15.0,7.54
15.5,7.55
16.0,7.56
16.5,7.57
17.0,7.58
17.5,7.59
18.0,7.60
18.5,7.60
19.0,7.61
19.5,7.62
20.0,7.62
20.5,7.63
21.0,7.63
21.5,7.64
22.0,7.64
22.5,7.65
23.0,7.65
23.5,7.66
24.0,7.66
24.5,7.67
25.0,7.67
25.5,7.67
26.0,7.68
26.5,7.68
27.0,7.68
27.5,7.69
28.0,7.69
28.5,7.69
29.0,7.70
29.5,7.70
30.0,7.70
30.5,7.70
31.0,7.71
31.5,7.71
32.0,7.71
32.5,7.71
33.0,7.71
33.5,7.72
34.0,7.72
34.5,7.72
35.0,7.72
35.5,7.73
36.0,7.73
36.5,7.73
37.0,7.73
37.5,7.73
38.0,7.73
38.5,7.74
39.0,7.74
39.5,7.74
40.0,7.74
